Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Philippines,%,false,0.06,2.18,5.49,7.34,10.72,7.11,6.39,-4.28,4.08,1.34,-0.37,1.19,2.14,2.52,0.86,-4.53,3.77,2.09,1.28,3.66,1.22,3.11,6.66,4.30,4.78,6.44,7.69
Uzbekistan,%,false,1.38,-5.14,16.76,-10.15,-4.38,1.27,-2.86,5.85,3.44,9.61,-2.89,1.74,-2.25,1.14,-1.34,10.52,-0.84,3.98,-10.59,2.45,5.49,-5.01,1.13,-2.99,-1.45,3.55,1.76
Myanmar,%,false,-0.27,1.23,1.28,1.19,1.44,-1.06,-1.07,2.95,2.51,-1.43,-9.27,-0.62,5.90,6.14,-3.82,2.11,4.12,-5.60,4.66,2.18,-12.80,4.23,1.27,3.53,2.84,-2.86,3.93
Bangladesh,%,false,0.16,1.65,1.03,2.07,4.19,0.42,1.80,-0.16,3.04,1.64,3.84,2.38,1.14,1.09,3.19,3.65,1.69,5.22,2.21,4.35,2.95,1.94,1.88,2.50,4.55,0.36,4.34
Algeria,%,false,-1.18,-0.40,8.00,-2.21,4.23,1.29,3.90,4.89,5.23,5.77,-3.96,5.93,4.48,2.83,3.94,3.81,4.83,2.06,6.11,0.67,4.53,5.56,2.11,5.25,3.89,-0.68,1.10
Iraq,%,false,-25.88,37.24,28.75,10.70,-3.54,1.59,16.60,-25.75,-17.15,12.93,12.78,-4.19,-11.13,4.61,15.57,-3.59,-5.77,9.94,22.18,10.22,8.72,14.32,6.43,3.63,-4.08,6.42,1.77
Ethiopia,%,false,1.88,2.65,-4.59,2.55,2.25,3.78,4.82,6.21,1.56,-2.41,5.75,8.18,-1.04,1.85,2.87,3.95,7.54,3.14,2.90,3.29,1.34,4.59,3.74,4.46,2.85,3.28,1.72
Peru,%,false,-1.19,0.84,1.13,2.41,4.46,3.20,1.13,0.23,3.70,0.53,2.65,1.62,-0.05,3.42,1.17,-0.29,3.02,3.41,2.91,2.87,18.21,0.21,0.78,1.90,0.91,2.23,-1.11
Netherlands,%,false,2.61,-0.29,2.62,-0.12,2.50,4.95,-3.80,0.06,-5.59,-0.98,0.38,-0.24,-0.03,0.75,-2.68,-2.28,-0.06,-1.11,-2.66,5.62,-6.39,-0.93,-0.22,-3.89,4.95,-0.09,-1.91
Tanzania,%,false,0.25,0.00,0.00,0.97,3.85,-6.48,0.00,3.96,-0.25,-2.59,5.33,5.70,7.90,-0.05,5.30,-3.65,2.27,2.57,2.05,2.75,3.04,5.19,2.88,2.30,5.60,7.38,-0.74
Sudan,%,false,1.22,4.91,2.49,5.62,1.43,5.12,8.59,6.87,3.50,-0.68,-11.24,5.57,2.93,2.42,4.70,-0.85,4.97,0.98,1.70,-1.45,-0.47,4.10,0.26,0.99,2.97,3.19,-0.08
Bolivia,%,false,0.75,1.73,1.64,1.89,-0.38,0.62,0.92,0.90,4.81,-7.89,-18.69,6.63,-2.54,13.07,-3.98,1.79,4.65,-4.57,-1.00,20.98,-9.17,0.34,0.07,0.46,2.78,9.39,-0.82
Turkmenistan,%,false,-11.66,-19.67,-5.36,8.01,3.36,-4.15,1.36,3.85,11.60,4.39,4.36,6.01,9.27,5.30,0.54,0.47,5.03,0.14,-8.77,6.70,10.62,7.16,4.90,4.81,5.33,-0.16,-0.26
